{'alpha': 0.001} --------> F1 = 0.8431000000000001
{'alpha': 0.002} --------> F1 = 0.8431000000000001
{'alpha': 0.003} --------> F1 = 0.8432
{'alpha': 0.004} --------> F1 = 0.8431000000000001
{'alpha': 0.005} --------> F1 = 0.8431000000000001
{'alpha': 0.006} --------> F1 = 0.8432
{'alpha': 0.007} --------> F1 = 0.8432
{'alpha': 0.008} --------> F1 = 0.8431000000000001
{'alpha': 0.009} --------> F1 = 0.8431000000000001
{'alpha': 0.01} --------> F1 = 0.8431000000000001
{'alpha': 0.02} --------> F1 = 0.8434
{'alpha': 0.05} --------> F1 = 0.8433
{'alpha': 0.1} --------> F1 = 0.843
Best params: {'alpha': 0.02}
 Best F1 Score = 0.8434
####################################################################################################
{'criterion': 'gini', 'max_depth': 8, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 2} --------> F1 = 0.6311
{'criterion': 'gini', 'max_depth': 8, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 3} --------> F1 = 0.6311
{'criterion': 'gini', 'max_depth': 8, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 5} --------> F1 = 0.6311
{'criterion': 'gini', 'max_depth': 8, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 10} --------> F1 = 0.6311
{'criterion': 'gini', 'max_depth': 8, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 20} --------> F1 = 0.6311
{'criterion': 'gini', 'max_depth': 8, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 2} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 8, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 3} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 8, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 5} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 8, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 10} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 8, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 20} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 2} --------> F1 = 0.5532
{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 3} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 5} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 10} --------> F1 = 0.5479
{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 20} --------> F1 = 0.5263
